Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,solar capacity
2018,2,11,1,7.94E-05
2018,2,11,2,0
2018,2,11,3,0
2018,2,11,4,0
2018,2,11,5,0
2018,2,11,6,0
2018,2,11,7,0
2018,2,11,8,0
2018,2,11,9,0
2018,2,11,10,0
2018,2,11,11,0
2018,2,11,12,0
2018,2,11,13,0
2018,2,11,14,0.000890681
2018,2,11,15,0.318516538
2018,2,11,16,0.515556536
2018,2,11,17,0.586504055
2018,2,11,18,0.627159136
2018,2,11,19,0.649355114
2018,2,11,20,0.659372515
2018,2,11,21,0.677517212
2018,2,11,22,0.6851875
2018,2,11,23,0.594440994
2018,2,11,24,0.312371332
2018,2,12,1,6.95E-05
2018,2,12,2,0
2018,2,12,3,0
2018,2,12,4,0
2018,2,12,5,0
2018,2,12,6,0
2018,2,12,7,0
2018,2,12,8,0
2018,2,12,9,0
2018,2,12,10,0
2018,2,12,11,0
2018,2,12,12,0
2018,2,12,13,0
2018,2,12,14,0.001223666
2018,2,12,15,0.549418391
2018,2,12,16,0.762152169
2018,2,12,17,0.786412612
2018,2,12,18,0.750122458
2018,2,12,19,0.730067891
2018,2,12,20,0.727286677
2018,2,12,21,0.739357132
2018,2,12,22,0.763869382
2018,2,12,23,0.680813699
2018,2,12,24,0.353276666
2018,2,13,1,0.000161182
2018,2,13,2,0
