Capacity data calculated from MERRA-2 by Lei Duan,,,,
Top 25% of area used.
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
year,month,day,hour,wind capacity
2018,2,2,15,0.159553628
2018,2,2,16,0.250811975
2018,2,2,17,0.300745039
2018,2,2,18,0.354659812
2018,2,2,19,0.39091497
2018,2,2,20,0.412582498
2018,2,2,21,0.418384002
2018,2,2,22,0.402448731
2018,2,2,23,0.385653724
2018,2,2,24,0.52122637
2018,2,3,1,0.773828847
2018,2,3,2,0.935368761
2018,2,3,3,0.965557676
2018,2,3,4,0.913550356
2018,2,3,5,0.820122751
2018,2,3,6,0.722643064
2018,2,3,7,0.63573147
2018,2,3,8,0.575117216
2018,2,3,9,0.531541623
2018,2,3,10,0.517515052
2018,2,3,11,0.516615861
2018,2,3,12,0.525425847
2018,2,3,13,0.540794425
2018,2,3,14,0.545843492
2018,2,3,15,0.399597218
2018,2,3,16,0.389257083
2018,2,3,17,0.476170944
2018,2,3,18,0.576553236
2018,2,3,19,0.592748941
2018,2,3,20,0.578389575
2018,2,3,21,0.525267413
2018,2,3,22,0.463295802
2018,2,3,23,0.389726049
2018,2,3,24,0.487534784
2018,2,4,1,0.489562333
2018,2,4,2,0.475173534
2018,2,4,3,0.442879953
2018,2,4,4,0.413290966
2018,2,4,5,0.372899465
2018,2,4,6,0.329619522
2018,2,4,7,0.283671273
2018,2,4,8,0.277101615
2018,2,4,9,0.321405916
2018,2,4,10,0.40210477
2018,2,4,11,0.429880968
2018,2,4,12,0.38592109
2018,2,4,13,0.31995867
2018,2,4,14,0.303299374
2018,2,4,15,0.188688375
2018,2,4,16,0.15143245
2018,2,4,17,0.18765469
2018,2,4,18,0.223085557
2018,2,4,19,0.243090157
2018,2,4,20,0.250973939
2018,2,4,21,0.278423119
2018,2,4,22,0.343578089
2018,2,4,23,0.466161232
2018,2,4,24,0.634081021
2018,2,5,1,0.681664805
2018,2,5,2,0.66981185
2018,2,5,3,0.614163101
2018,2,5,4,0.473492672
2018,2,5,5,0.314027185
2018,2,5,6,0.199801141
2018,2,5,7,0.134110127
2018,2,5,8,0.10921221
2018,2,5,9,0.114687458
2018,2,5,10,0.145311461
2018,2,5,11,0.188524051
2018,2,5,12,0.237685202
2018,2,5,13,0.27847387
2018,2,5,14,0.309820128
2018,2,5,15,0.361497394
2018,2,5,16,0.461603277
2018,2,5,17,0.545530333
2018,2,5,18,0.59434363
2018,2,5,19,0.572157798
2018,2,5,20,0.522088479
2018,2,5,21,0.462775138
2018,2,5,22,0.384662642
2018,2,5,23,0.306434532
2018,2,5,24,0.384228562
2018,2,6,1,0.478583269
2018,2,6,2,0.547247772
2018,2,6,3,0.650987518
2018,2,6,4,0.697282201
2018,2,6,5,0.675385742
2018,2,6,6,0.580117489
2018,2,6,7,0.46976621
2018,2,6,8,0.404314944
2018,2,6,9,0.34427063
2018,2,6,10,0.296876772
2018,2,6,11,0.269431314
2018,2,6,12,0.246094614
2018,2,6,13,0.214859118
2018,2,6,14,0.195470476
2018,2,6,15,0.173938396
2018,2,6,16,0.133114484
2018,2,6,17,0.092221523
2018,2,6,18,0.068167012
2018,2,6,19,0.052699136
2018,2,6,20,0.044067837
2018,2,6,21,0.045464653
2018,2,6,22,0.035556593
2018,2,6,23,0.017505574
